participant,NV,FV,EV,DV
3,-0.49526066656329437,2.4688625989653517,-2.5243102949765515,-0.005101234435514456
4,-0.5574465411625404,-0.05981290565996072,-4.5804523839887725,-1.7398608262821003
5,0.6601420870310687,4.872668860456284,-1.7924308327331795,1.793363010954511
6,2.015756308770453,5.726585443343704,-0.41491087040534325,2.72397939219877
7,0.01589431188424267,0.6431072512990323,-1.570114799694192,-0.11371768663805891
8,1.9897727591387828,2.3880553269945985,-0.5292396506016126,1.1788050031206512
9,-2.1538771504317125,-1.0979436794223558,-3.3836787524264995,-2.22879563396938
10,-1.4774523533418993,0.02182762610411369,-4.0149445814388045,-3.4716011499057338
11,3.8465205322446505,0.340591177224644,5.863308302558726,3.865152318869159
12,-2.75426624272573,-3.6319990206106922,-5.520328320258919,-3.7880377133861534
13,-2.0643400253005515,2.5594453386684917,-7.1967901794275635,-1.9476981691370974
14,-5.267497542489928,-5.044884914588927,-8.57233295858358,-7.64752724438299
15,-0.5794144433169822,0.7370587980617197,-3.0779302722792052,-1.3612347881122357
